Duration,Init,Name,Concat Size,Convergence Epoch,Layers,Learning Rate,Loss,Loss Val,Mae Test,Qubits,Rmse Test,Training Time,User,237.9682116,,209.88,265.62,,,suma total cuadr
4.7min,xavier,sp5001682Xavier,16,34,4,0.0005,0.000186129,0.22514307,84.66799229,8,89.25202677,53.13770032,52333,22116.50363,8713902.429,14551.10793,,511.2121,,1786.068192
3.4min,xavier,sp5001662Xavier,16,55,3,0.0005,0.000245101,0.096413756,53.15866908,6,58.40611204,29.99060011,52333,32242.54759,12703563.75,22944.33873,,1901.8321,,798.7349916
2.3min,xavier,sp5001642Xavier,16,41,2,0.0005,0.000138175,0.095109428,53.24111309,4,58.00969485,13.68089056,52333,32385.06774,12759716.69,23064.58959,,876.7521,,105.3065916
1.2min,xavier,sp5001622Xavier,16,23,1,0.0005,0.000113208,0.058785888,41.55844346,2,45.60635235,5.652401924,52333,37003.08489,14579215.45,26985.83131,,134.7921,,59.87819161
21.3min,xavier,btc16121Xavier,16,5,6,0.0005,7.33E-05,4.38E-05,309.3660703,12,355.3926581,563.3957195,52333,13788.50065,5432669.254,21173.93368,,40.8321,,59.87819161
10.6min,xavier,btc16101Xavier,16,5,5,0.0005,0.000124628,0.00010087,487.1094953,10,539.0616302,157.4846065,52333,90657.24673,35718955.21,108360.5457,,40.8321,,59.87819161
4.7min,xavier,btc1681Xavier,16,5,4,0.0005,0.000128895,3.54E-05,276.5405434,8,319.1691987,43.8295722,52333,6593.600312,2597878.523,11944.12896,,40.8321,,59.87819161
3.2min,xavier,btc1661Xavier,16,5,3,0.0005,0.000118189,0.000103862,495.5703766,6,546.9991841,22.09162569,52333,95500.142,37627055.95,113649.3443,,40.8321,,59.87819161
2.3min,xavier,btc1641Xavier,16,5,2,0.0005,0.000123923,4.78E-05,326.9808852,4,371.1852203,11.16418266,52333,17746.77142,6992227.941,26019.37411,,40.8321,,59.87819161
1.1min,xavier,btc1621Xavier,16,5,1,0.0005,8.43E-05,0.00012695,552.5099362,2,604.7490529,4.900450468,52333,134528.1855,53004105.1,155921.5689,,40.8321,,743.2111916
